alpha_0,sigma_0,rho_0,eta_0,mu_0,lambda_0,phi_L_0,phi_H_0,alpha,sigma,rho,eta,mu,lambda,phi_L,phi_H,fit_rr,fit_wbr,fit_lbr,fit_sp,obj_val,tol
0.22,0.1,0.5,0.3,0.25,0.25,2.0,2.0,0.2831722982915248,0.22229496314346042,0.3964868408881931,0.3,0.5076622456520261,0.1714895571815859,2.201330160624864,2.0,14.073363058817623,0.407360194025586,0.010487829338145328,5.116415696200473,-0.8735684453562363,0.5
0.22,0.1,0.5,0.3,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.5,0.5,0.3,0.25,0.25,2.0,2.0,0.2861463541962899,0.6097786502877709,0.4992769349741522,0.3,0.37467682071902475,0.15697046485087612,2.4564916755441875,2.0,8.614886448183867,0.09444739002619797,0.005276781273842368,1.1175420722385183,-3.0339902195694326,0.5
0.22,0.5,0.5,0.3,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,-0.5,-0.5,0.01,0.25,0.25,6.0,6.0,0.2910609464179708,-1.1671398454521082,-1.1452631582358592,0.01,0.17915712481730534,0.023752392065936066,2.998346710816664,6.0,840.0293835684088,1.3354978387669887,0.9417753651560588,14.728200576476189,101.81071255435288,0.5
0.22,-0.5,-0.5,0.01,0.25,0.25,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.1,-0.5,0.01,0.25,0.25,6.0,6.0,0.2762077342002541,0.2775432261185545,-0.808917918862962,0.01,0.5756790121844102,0.04747535550841876,4.181823156009003,6.0,168.96019670713605,0.10598757022541974,0.1663859630515006,1.4101587115736114,52.67371626046333,0.5
0.22,0.1,-0.5,0.01,0.25,0.25,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.5,-0.5,0.01,0.25,0.25,6.0,6.0,0.2790509359643614,0.6087013370729794,-0.7070915916206686,0.01,0.28050375080576784,0.06466481303255853,5.660329785875764,6.0,193.18766562140402,2.4480000292678437,0.20145726764230645,18.557313070941998,55.58757335933509,0.5
0.22,0.5,-0.5,0.01,0.25,0.25,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,-0.5,-1.0,0.01,0.25,0.25,6.0,6.0,0.28039758765837386,-0.8752839658515277,-1.0464604306248533,0.01,0.43093527903608836,0.034889225260164844,3.8449909722341937,6.0,738.7133588338188,0.7815585617119789,0.7772083581658822,6.850660909581386,112.41656803099171,0.5
0.22,-0.5,-1.0,0.01,0.25,0.25,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.1,-1.0,0.01,0.25,0.25,6.0,6.0,0.2691783292955019,0.24993156827273078,-0.7843426390480623,0.01,0.5933854087674563,0.05303656961107475,3.7450205822668896,6.0,186.18120667723917,0.08836363339232077,0.16705568063267687,1.1694659813829085,56.402090296200484,0.5
0.22,0.1,-1.0,0.01,0.25,0.25,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.5,-1.0,0.01,0.25,0.25,6.0,6.0,0.2755286599094449,0.48322456022177573,-0.8374118554174883,0.01,0.3702124525180279,0.047452480435600006,5.587385605371648,6.0,199.92397981915803,0.6062495426686426,0.19670477688143548,5.029301483483594,51.88379370356868,0.5
0.22,0.5,-1.0,0.01,0.25,0.25,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,-0.5,0.5,0.01,0.25,0.25,6.0,6.0,0.28752234929977244,-2.0873059939130187,0.978858238136065,0.01,0.7900361357316665,0.7023756197535758,6.195345888914167,6.0,5.16146600073616,73703.61253621783,0.028085039880697722,987576.00804703,11.593253669039173,0.5
0.22,-0.5,0.5,0.01,0.25,0.25,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.1,0.5,0.01,0.25,0.25,6.0,6.0,0.2585983069934944,0.4251982997633802,0.4773291153258524,0.01,0.06584919033063327,0.639930562267002,10.297873119789745,6.0,21.908025320907708,0.2250224705759662,0.0038912201853937437,2.5046523815533512,17.018258590997984,0.5
0.22,0.1,0.5,0.01,0.25,0.25,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.5,0.5,0.01,0.25,0.25,6.0,6.0,0.24794416087313156,0.8228647071425517,0.2962977005290566,0.01,0.04912567493065992,0.5207583457022061,7.236652960450541,6.0,36.28153145074231,0.942131059126353,0.006246136355767241,8.20895506671882,25.649140081981976,0.5
0.22,0.5,0.5,0.01,0.25,0.25,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,-0.5,-0.5,0.1,0.25,0.25,6.0,6.0,0.2879451894540239,-0.7001083169282212,-0.5817216611625723,0.1,0.38812561815852337,0.09286115013656512,3.2482049749401587,6.0,279.35116533078,1.0434271956771217,0.30554764859235595,10.610748944794107,11.475420066169226,0.5
