BEA_CODE,YEAR,REL_P_EQ_DEVIATION
331,1968,0.9162120533784129
331,1969,0.9133888524715953
331,1970,0.9149327004681643
331,1971,0.9127076284840739
331,1972,0.9027105518202553
331,1973,0.9016522129883109
331,1974,0.8947552531333308
331,1975,0.9195438717021095
331,1976,0.925335168121176
331,1977,0.9396732255089941
331,1978,0.943676582381417
331,1979,0.9546459929324655
331,1980,0.9677199272190705
331,1981,0.9681503681462901
331,1982,0.964056358043492
331,1983,0.9643918579000131
331,1984,0.9666512459252565
331,1985,0.9738311532793904
331,1986,0.9848027244360016
331,1987,1.0
331,1988,1.0100869267439248
331,1989,1.0177418901468842
331,1990,1.0319157389366376
331,1991,1.0438351641095858
331,1992,1.051968709894421
331,1993,1.0622453630012105
331,1994,1.0759326966490967
331,1995,1.0988789772063805
331,1996,1.129108654122174
331,1997,1.1589926409859581
331,1998,1.2044144478093992
331,1999,1.2438518682070696
331,2000,1.2692903650946377
331,2001,1.3049732020106497
331,2002,1.3351246924538103
331,2003,1.37728676396091
331,2004,1.4202615412547557
331,2005,1.470326130556896
331,2006,1.5088779123146687
331,2007,1.5475300094894422
331,2008,1.6070638753590927
331,2009,1.6364089132418667
331,2010,1.6669452338983815
331,2011,1.697005164848644
331,2012,1.72210383425341
331,2013,1.7360924704046306
331,2014,1.7587237555454447
331,2015,1.7693043700960966
331,2016,1.7909521362026632
331,2017,1.8120183833844425
331,2018,1.8370618172035216
331,2019,1.8690782787230331
331,2020,1.8755468785896976
331,2021,1.8911831083723571
331,2022,1.9025024416742635
331,2023,1.9238585940694644
331,2024,1.9438464056647236
332,1947,0.7843087154886388
332,1948,0.7896917082397691
332,1949,0.8068156298928544
332,1950,0.8292396371135898
332,1951,0.8478557133471798
332,1952,0.861064201052735
332,1953,0.8657491961928646
332,1954,0.8656573632343089
332,1955,0.8864218133453665
332,1956,0.91399880917627
332,1957,0.9235041890656341
332,1958,0.920069035905224
332,1959,0.9196024799030521
332,1960,0.9348184871252029
332,1961,0.9361475051418251
332,1962,0.9358752984219106
332,1963,0.9277814104277389
332,1964,0.9240105419401766
332,1965,0.9252989137764813
332,1966,0.9205998085599376
332,1967,0.9189009674249404
332,1968,0.921007982045569
332,1969,0.9177068443926014
332,1970,0.9186689602943839
332,1971,0.9030663203226801
332,1972,0.890203451138972
332,1973,0.8890804964025321
332,1974,0.8846208649019488
332,1975,0.904572802108436
332,1976,0.9036906572993146
332,1977,0.9220898845134108
332,1978,0.9295133009432405
332,1979,0.9518765773110421
332,1980,0.9707252878265665
332,1981,0.9677805436610248
332,1982,0.9651994798348753
332,1983,0.960140884657597
332,1984,0.9599663757313138
332,1985,0.9659663315853849
332,1986,0.9829709183362446
332,1987,1.0
332,1988,1.0097923560949893
332,1989,1.0119907484945456
332,1990,1.020517292218053
332,1991,1.0278588721788064
332,1992,1.0281333053403685
332,1993,1.0331302870045975
332,1994,1.0437476696940917
332,1995,1.0618380432802454
332,1996,1.0850057934679467
332,1997,1.1073431598713812
332,1998,1.1428688951336707
332,1999,1.1728357279696497
332,2000,1.1934125902787618
332,2001,1.2218270284374702
332,2002,1.2468783318010968
332,2003,1.2801772435198373
332,2004,1.3179696535487098
332,2005,1.3598326028142451
332,2006,1.3895802872185252
332,2007,1.4185279897494414
332,2008,1.4661190727974491
332,2009,1.489318017585659
332,2010,1.519188771906431
332,2011,1.548221388741367
